,feature,importance,
1586,(clone FBK III 16) protein tyrosine kinase (NET PTK) mRNA,0,
1479,(clone FFE-7) type II inosine monophosphate dehydrogenase (IMPDH2) gene; exons 1-13,0,
1643,(clone HSNME29) CGRP type 1 receptor mRNA,0,
7056,(clone Hu lambda-17) lambda-like gene,0,
1523,(clone mf.18) RNA polymerase II mRNA,0,
1509,(clone N5-4) protein p84 mRNA,0,
7111,(clone p4) 50 kD dystrophin-associated glycoprotein mRNA,0,
1634,(clone p5-23-3) mRNA,0,
5999,(clone pA3) protein disulfide isomerase related protein (ERp72) mRNA,0,
4602,(clone PK2J) CDC2-related protein kinase (PISSLRE) mRNA,0,
1571,(clone s153) mRNA fragment,0,
1572,(clone S164) mRNA; 3' end of cds,0,
1573,(clone S171) mRNA,0,
1574,(clone S194) mRNA; 3' end of cds,0,
1575,(clone S20iii15) mRNA; 3' end of cds,0,
1576,(clone s22i71) mRNA fragment,0,
1577,(clone S240ii117/zap112) mRNA,0,
5316,(clone S31i125) mRNA; 3' end of cds,0,
6126,(clone S31i125) mRNA; 3' end of cds,0,
1218,(clone SY11) golgin-95 mRNA,0,
1412,(clone Z146) retinal mRNA; 3' end and repeat region,0,
1578,(clone zap113) mRNA; 3' end of cds,0,
1579,(clone zap128) mRNA; 3' end of cds,0,
1580,(clone Zap2) mRNA fragment,0,
1581,(clone zap3) mRNA; 3' end of cds,0,
4097,(clones lambda-hPKC-beta[15;802]) protein kinase C-beta-1 (PRKCB1) mRNA,0,
6955,(genomic clones lambda-[SK2-T2; HS578T]; cDNA clones RS-[3;4; 6]) c-Ha-ras1 proto-oncogene; complete coding sequence,0,
5935,(genomic clones lambda-[SK2-T2; HS578T]; cDNA clones RS-[3;4; 6]) c-Ha-ras1 proto-oncogene; complete coding sequence,0,
1170,(HepG2) glucose transporter gene mRNA,0,
5931,(hybridoma H210) anti-hepatitis A IgG variable region; constant region; complementarity-determining regions mRNA,0,
1419,(p23) mRNA,0,
2431,(pp21) mRNA,0,
1793,; alpha-2 (VI) collagen,0,
2529,<beta>-ADD gene extracted from beta -ADD=adducin beta subunit 63 kda isoform/membrane skeleton protein;  beta -ADD=adducin beta subunit 63 kda isoform/membrane skeleton protein {alternatively spliced; exon 10 to 13 region} [human; Genomic; 4499 nt 3 segments],0,
2697,1.1 kb mRNA upregulated in retinoic acid treated HL-60 neutrophilic cells,0,
2918,100 kDa coactivator mRNA,0,
2966,11 beta-hydroxysteroid dehydrogenase type II mRNA,0,
6741,12-Lipoxygenase,0,
6740,12-Lipoxygenase,0,
3405,130 kD Golgi-localized phosphoprotein (GPP130) mRNA,0,
2358,130 KD LEUCINE-RICH PROTEIN,0,
4778,-14 gene; containing globin regulatory element,0,
5229,-14 gene; containing globin regulatory element,0,
3396,14-3-3 epsilon mRNA,0,
4290,14-3-3 PROTEIN TAU,0.001081781,
4521,14A6CK DNA sequence,0,
3559,150 kDa oxygen-regulated protein ORP150 mRNA,0,
1644,15-HYDROXYPROSTAGLANDIN DEHYDROGENASE,0,
4746,17-beta-hydroxysteroid dehydrogenase,0,
3084,17-beta-hydroxysteroid dehydrogenase (EDH17B2) gene,0,
2835,180 kDa transmembrane PLA2 receptor mRNA,0,
2869,19.8 kDa protein mRNA,0,
5242,2';3'-cyclic-nucleotide 3'-phosphodiesterase gene extracted from Human 2';3'-cyclic-nucleotide 3'-phosphodiesterase gene,0,
2922,2;3-oxidosqualene-lanosterol cyclase mRNA,0,
1056,20-kDa myosin light chain (MLC-2) mRNA,0,
4739,218kD Mi-2 protein,0,
4275,2-19 gene (2-19 protein) extracted from H.sapiens G6PD gene for glucose-6-phosphate dehydrogenase,0,
4815,21-Glutamic Acid-Rich Protein (21-GARP),0,
2397,22kDa smooth muscle protein (SM22) mRNA,0,
6694,2-5A binding protein,0,
5617,26 S protease subunit 5b,0,
1961,26-kDa cell surface protein TAPA-1 mRNA,0.008218945,
1187,26S PROTEASE REGULATORY SUBUNIT 4,0,
181,26S PROTEASE REGULATORY SUBUNIT 7,0,
383,26S PROTEASOME REGULATORY SUBUNIT P31,0,
3996,2A8.2 gene (unknown protein CIT987SK_2A8_1) extracted from Human chromosome 8 BAC clone CIT987SK-2A8 complete sequence,0,
3997,2A8.3 gene (hereditary multiple exostoses gene isolog) extracted from Human chromosome 8 BAC clone CIT987SK-2A8 complete sequence,0,
4427,2-oxoglutarate carrier protein,0,
3163,3';5' cyclic nucleotide phosphodiesterase (HSPDE1A3A) mRNA,0,
3164,3';5' cyclic nucleotide phosphodiesterase (HSPDE1C1A) mRNA,0,
3165,3';5' cyclic nucleotide phosphodiesterase (HSPDE1C3A) mRNA; partial cds,0,
6080,3';5'-cyclic AMP phosphodiesterase inactive splice variant HSPDE4A8A mRNA,0,
4555,33 KD HOUSEKEEPING PROTEIN,0,
3989,362G6.1 gene (unknown protein CIT987SK_362G6_1) extracted from Human chromosome 16p13.1 BAC clone CIT987SK-362G6 complete sequence,0,
3990,362G6.2 gene extracted from Human chromosome 16p13.1 BAC clone CIT987SK-362G6 complete sequence,0,
5728,37 kD laminin receptor precursor/p40 ribosome associated protein gene,0,
4817,37 kDa LIM domain protein,0,
6868,3-beta-hydroxysteroid dehydrogenase gene extracted from Human type II 3-beta hydroxysteroid dehydrogenase/ 5-delta - 4-delta isomerase gene,0,
6861,3-beta-hydroxysteroid dehydrogenase/delta-5-delta-4-isomerase (3-beta-HSD) gene,0,
1671,3-HYDROXY-3-METHYLGLUTARYL-COENZYME A REDUCTASE,0,
5112,3-HYDROXYANTHRANILATE 3;4-DIOXYGENASE,0.001163147,
3588,3-hydroxyisobutyryl-coenzyme A hydrolase mRNA,0,
256,3-KETOACYL-COA THIOLASE MITOCHONDRIAL,0,
4992,3'UTR of unknown protein,0,
3660,40871 mRNA partial sequence,0.007300098,
4377,40S RIBOSOMAL PROTEIN S15A,0,
1766,40S RIBOSOMAL PROTEIN S17,0,
212,40S RIBOSOMAL PROTEIN S17,0,
2258,40S RIBOSOMAL PROTEIN S19,0,
225,40S RIBOSOMAL PROTEIN S23,0,
2801,40S RIBOSOMAL PROTEIN S29,0,
2825,40S RIBOSOMAL PROTEIN S7,0,
5123,43kD acetylcholine receptor-associated protein (Rapsyn),0,
3603,44.9 kDa protein C18B11 homolog gene; partial cds,0,
3686,48 kDa FKBP-associated protein FAP48 mRNA,0,
6962,4-AMINOBUTYRATE AMINOTRANSFERASE; MITOCHONDRIAL PRECURSOR,0,
837,4-Beta-Galactosyltransferase,0,
5612,4-HYDROXYPHENYLPYRUVATE DIOXYGENASE,0,
1544,5;10-methenyltetrahydrofolate synthetase mRNA,0,
6439,53K isoform of Type II phosphatidylinositol-4-phosphate 5-kinase (PIPK) mRNA,0,
3192,54 kDa progesterone receptor-associated immunophilin FKBP54 mRNA; partial cds,0,
2596,54 kDa protein mRNA,0,
555,55.11 binding protein,0,
1364,59 protein mRNA; 3' end,0,
604,5-aminoimidazole-4-carboxamide-1-beta-D-ribonucleoti de transformylase/inosinicase,0,
5224,5-aminolevulinic acid synthase gene extracted from Human DNA sequence from PAC 296K21 on chromosome X contains cytokeratin exon; delta-aminolevulinate synthase (erythroid); 5-aminolevulinic acid synthase.(EC 2.3.1.37). 6-phosphofructo-2-kinase/fructose-2;6-bisphosphatase (EC 2.7.1.105; EC 3.1.3.46); ESTs and STS,0,
3198,5'-AMP-activated protein kinase; gamma-1 subunit mRNA,0,
2943,5C5 mRNA; putative complete cds,0,
2516,5-HT2AR=serotonin 5-HT2A receptor {promoter} [human; Genomic; 1678 nt],0,
1593,5-HT6 serotonin receptor mRNA,0,
4588,5-HYDROXYTRYPTAMINE 2B RECEPTOR,0.006521739,
685,5'OY11.1 gene extracted from Human (lambda) DNA for immunogloblin light chain,0,
5109,5T4 gene for 5T4 Oncofetal antigen,0,
561,5'-terminal region of UMK,0,
1852,60-kdal ribonucleoprotein (Ro) mRNA,0,
4410,60S RIBOSOMAL PROTEIN L13,0,
4157,60S RIBOSOMAL PROTEIN L13,0,
4651,60S RIBOSOMAL PROTEIN L18A,0,
4252,60S RIBOSOMAL PROTEIN L23,0.001696429,
281,60S RIBOSOMAL PROTEIN L23,0,
6506,6-16 gene (interferon-inducible peptide precursor) extracted from Human interferon-inducible peptide (6-16) gene,0,
1192,62 kDa paraneoplastic antigen mRNA; 3' end,0,
4258,64 KD AUTOANTIGEN D1,0,
4646,65 KD YES-ASSOCIATED PROTEIN,0,
3738,68 kDa type I phosphatidylinositol-4-phosphate 5-kinase alpha mRNA; clone PIP5KIa1,0,
2319,69/71 KD,0,
2316,69/71 KD,0,
4666,6C6-Ag mRNA,0,
6559,72.1 protein,0,
2205,75 KD INOSITOL-1;4;5-TRISPHOSPHATE 5-PHOSPHATASE PRECURSOR,0,
2445,75 kda infertility-related sperm protein [human; testis; mRNA Partial; 2427 nt],0,
4360,75 kDa subunit NADH dehydrogenase precursor gene extracted from Human mRNA for mitochondrial 75 kDa iron sulphur protein,0.001232074,
2889,76 kDa tyrosine phosphoprotein SLP-76 mRNA,0,
1779,78 KD GLUCOSE REGULATED PROTEIN PRECURSOR,0,
5238,815A9.1 gene (myosin heavy chain) extracted from Homo sapiens chromosome 16 BAC clone CIT987SK-815A9 complete sequence,0,
4138,9 KD PROTEIN,0,
1131,90-kDa heat-shock protein gene; cDNA,0,
569,A cell surface protein,0,
3636,A28-RGS14p mRNA,0,
6158,A2M Alpha-2-macroglobulin,0,
3799,A33 antigen precursor mRNA,0,
102,A-589H1.1 from  Homo sapiens Chromosome 16 BAC clone CIT987-SKA-589H1  ~complete genomic sequence; complete sequence./ntype=DNA /annot=mRNA,0,
5522,A-589H1.2 from  Homo sapiens Chromosome 16 BAC clone CIT987-SKA-589H1  ~complete genomic sequence; complete sequence./ntype=DNA /annot=mRNA,0,
5693,AAC1 Arylamine N-acetyltransferase; liver,0,
6813,AAC2 Arylamine N-acetyltransferase; liver,0,
4966,AAD14 protein; partial,0,
378,AARS Alanyl-tRNA synthetase,0,
3742,ABC3 ATP-binding cassette 3,0,
2670,ABL gene; exon 1b and intron 1b; and putative M8604 Met protein  (M8604 Met) gene,0,
6508,Abl interactor 2 (Abi-2) mRNA,0,
4183,ABL1 V-abl Abelson murine leukemia viral oncogene homolog 1,0,
2811,ABO ABO blood group (transferase A; alpha 1-3-N-acetylgalactosaminyltransferase; transferase B; alpha 1-3-galactosyltransferase),0,
6481,ABP1 Amiloride binding protein 1 (amine oxidase (copper-containing)),0,
7117,ABP1 Amiloride binding protein 1 (amine oxidase (copper-containing)),0,
2579,ABR Active BCR-related gene,0,
598,AC1 mRNA,0,
4150,ACAA Acetyl-Coenzyme A acyltransferase (peroxisomal 3-oxoacyl-Coenzyme A thiolase),0,
2203,ACADL Acyl-Coenzyme A dehydrogenase; long chain,0,
2347,ACADM Acyl-Coenzyme A dehydrogenase; C-4 to C-12 straight chain,0,
2763,ACADSB Acyl-coA dehydrogenase,0,
173,ACAT1 Acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A thiolase),0,
4142,ACBP Arginine carboxypeptidase (carboxypeptidase N),0,
3499,Acetolactate synthase homolog mRNA,0,
904,Acetyl-Coenzyme A Carboxylase,0,
755,Acetyl-coenzyme A transporter,0,
513,Acetylhydrolase IB beta-subunit,0,
1249,Achaete scute homologous protein (ASH1) mRNA,0,
2015,ACHE Acetylcholinesterase (YT blood group),0,
3630,Acid ceramidase mRNA,0,
2815,Acidic 82 kDa protein mRNA,0,
4737,Acidic hair keratin 1,0,
3806,ACO2 Aconitase 2; mitochondrial,0,
2955,ACP1 Acid phosphatase 1; soluble,0,
5990,ACP5 Acid phosphatase 5; tartrate resistant,0,
1851,ACPP Acid phosphatase; prostate,0,
4944,ACR Acrosin,0,
1791,ACTA1 Actin; alpha 1; skeletal muscle,0,
7095,ACTB Actin; beta,0,
5922,ACTB Actin; beta,0,
1774,ACTG1 Actin; gamma 1,0,
2605,Actin bundling protein mRNA,0,
2453,Actin depolymerizing factor [human; fetal brain; mRNA; 1452 nt],0,
2899,Actin-like peptide mRNA; partial cds,0,
1314,Activated p21cdc42Hs kinase (ack) mRNA,0,
1231,ACTIVATOR 1 36 KD SUBUNIT,0,
2095,Activator protein 2B (AP-2B) mRNA,0,
4591,Activin type II receptor,0,
2300,ACTN2 Actinin alpha 2 ,0,
2301,ACTN3 Actinin alpha-3,0,
2369,ACVR2 Activin A receptor; type II,0,
1233,ACY1 Aminoacylase 1,0,
3952,Acyl-CoA thioester hydrolase mRNA,0,
4710,Acylphosphatase; muscle type (MT) isoenzyme,0,
4709,ACYLPHOSPHATASE; ORGAN-COMMON TYPE ISOZYME,0,
1703,ADA Adenosine deaminase,0,
4980,Adaptor protein p150,0,
2731,ADAR Double-stranded RNA adenosine deaminase,0,
1209,ADCY1 Adenylate cyclase 1 (brain),0,
5132,ADCY8 Adenylate cyclase 8 (brain),0,
6454,ADCYAP1 Adenylate cyclase activating polypeptide 1 (pituitary),0,
3223,ADD2 Adducin 2 (beta) {alternative products},0,
3110,ADD3 Adducin 3 (gamma),0,
5277,Adducin; Alpha Subunit; Alt. Splice 2,0,
5903,Adducin; Alpha Subunit; Alt. Splice 3,0,
4936,Adenine phosphoribosyltransferase (aprt) gene extracted from Human APRT gene for adenine phosphoribosyltransferase,0,
4469,ADENOSINE A2A RECEPTOR,0,
1094,Adenosine triphosphatase mRNA,0,
5190,Adenosine triphosphatase; calcium,0.01,
1400,ADENYLATE CYCLASE; TYPE II,0,
4423,ADENYLOSUCCINATE LYASE,0,
4441,Adenylosuccinate synthetase mRNA,0,
1293,ADENYLYL CYCLASE-ASSOCIATED PROTEIN 1,0,
851,Adenylyl Cyclase-Associated Protein 2,0,
6164,ADH1 Alcohol dehydrogenase 1 (class I); alpha polypeptide,0,
5443,ADH2 Alcohol dehydrogenase 2 (class I); beta polypeptide,0,
4288,ADH4 gene for class II alcohol dehydrogenase (pi subunit); exon 1,0,
2253,ADH5 Alcohol dehydrogenase 5 chi subunit (class III),0,
4576,ADH7 Alcohol dehydrogenase 7 sigma subunit (class IV),0,
3408,Adhesion molecule DNAM-1 mRNA,0,
4315,Adipogenesis inhibitory factor,0,
5420,ADK Adenosine kinase,0,
247,ADM Adrenomedullin,0.005681818,
1405,ADORA1 Adenosine receptor A1,0,
4470,ADORA2B Adenosine A2b receptor,0,
1658,ADORA3 Adenosine receptor A3,0,
5751,Adp-Ribosylarginine Hydrolase,0,
3691,ADP-ribosylation factor-like protein 4 mRNA,0,
882,Adp-Ribosylation-Like Factor,0,
2486,ADP-ribosyltransferase [human; skeletal muscle; mRNA; 1334 nt],0,
1077,ADPRT ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase),0,
2224,ADRA1A Adrenergic; alpha-1A-; receptor,0,
379,ADRA1C Adrenergic; alpha-1C-; receptor,0,
5329,ADRB2 Adrenergic; beta-2-; receptor; surface,0,
6268,ADRB3 Adrenergic; beta-3-; receptor,0,
5475,ADRB3 Adrenergic; beta-3-; receptor,0,
2690,ADRBK1 Adrenergic; beta; receptor kinase 1,0,
5713,Adrenal-Specific Protein Pg2,0,
5875,Adrenergic Receptor; Alpha 1b,0,
5908,Adrenergic Receptor; Beta 1,0,
802,Adrenergic; Beta; Receptor Kinase 2,0,
1839,ADRENODOXIN PRECURSOR,0,
617,Adult heart mRNA for neutral calponin,0,
5691,Adult tooth pulp of third molar fibroblast mRNA for MSX-2,0,
5690,Adult tooth pulp of third molar fibroblast mRNA for MSX-2,0,
981,Af-17,0,
5306,AF-4 mRNA,0,
3146,AF-4 mRNA,0,
901,Af-6 (Gb:U02478),0,
5305,AF-9 PROTEIN,0,
2,AFFX-BioB-3_at (endogenous control),0,
11,AFFX-BioB-3_st (endogenous control),0,
0,AFFX-BioB-5_at (endogenous control),0,
9,AFFX-BioB-5_st (endogenous control),0,
1,AFFX-BioB-M_at (endogenous control),0,
10,AFFX-BioB-M_st (endogenous control),0,
4,AFFX-BioC-3_at (endogenous control),0,
13,AFFX-BioC-3_st (endogenous control),0,
3,AFFX-BioC-5_at (endogenous control),0,
12,AFFX-BioC-5_st (endogenous control),0,
6,AFFX-BioDn-3_at (endogenous control),0,
15,AFFX-BioDn-3_st (endogenous control),0,
5,AFFX-BioDn-5_at (endogenous control),0,
14,AFFX-BioDn-5_st (endogenous control),0,
8,AFFX-CreX-3_at (endogenous control),0,
17,AFFX-CreX-3_st (endogenous control),0,
7,AFFX-CreX-5_at (endogenous control),0,
16,AFFX-CreX-5_st (endogenous control),0,
21,AFFX-DapX-3_at (endogenous control),0,
19,AFFX-DapX-5_at (endogenous control),0,
20,AFFX-DapX-M_at (endogenous control),0,
46,AFFX-HSAC07/X00351_3_at (endogenous control),0,
53,AFFX-HSAC07/X00351_3_st (endogenous control),0,
44,AFFX-HSAC07/X00351_5_at (endogenous control),0,
57,AFFX-HSAC07/X00351_5_st (endogenous control),0,
45,AFFX-HSAC07/X00351_M_at (endogenous control),0,
58,AFFX-HSAC07/X00351_M_st (endogenous control),0,
43,AFFX-HUMGAPDH/M33197_3_at (endogenous control),0,
56,AFFX-HUMGAPDH/M33197_3_st (endogenous control),0,
41,AFFX-HUMGAPDH/M33197_5_at (endogenous control),0,
54,AFFX-HUMGAPDH/M33197_5_st (endogenous control),0,
42,AFFX-HUMGAPDH/M33197_M_at (endogenous control),0,
55,AFFX-HUMGAPDH/M33197_M_st (endogenous control),0,
37,AFFX-HUMISGF3A/M97935_3_at (endogenous control),0,
34,AFFX-HUMISGF3A/M97935_5_at (endogenous control),0,
35,AFFX-HUMISGF3A/M97935_MA_at (endogenous control),0,
36,AFFX-HUMISGF3A/M97935_MB_at (endogenous control),0,
40,AFFX-HUMRGE/M10098_3_at (endogenous control),0,
38,AFFX-HUMRGE/M10098_5_at (endogenous control),0,
39,AFFX-HUMRGE/M10098_M_at (endogenous control),0,
49,AFFX-HUMTFRR/M11507_3_at (endogenous control),0,
47,AFFX-HUMTFRR/M11507_5_at (endogenous control),0,
48,AFFX-HUMTFRR/M11507_M_at (endogenous control),0,
24,AFFX-LysX-3_at (endogenous control),0,
22,AFFX-LysX-5_at (endogenous control),0,
23,AFFX-LysX-M_at (endogenous control),0,
52,AFFX-M27830_3_at (endogenous control),0,
50,AFFX-M27830_5_at (endogenous control),0,
51,AFFX-M27830_M_at (endogenous control),0,
27,AFFX-PheX-3_at (endogenous control),0,
25,AFFX-PheX-5_at (endogenous control),0,
26,AFFX-PheX-M_at (endogenous control),0,
30,AFFX-ThrX-3_at (endogenous control),0,
28,AFFX-ThrX-5_at (endogenous control),0,
29,AFFX-ThrX-M_at (endogenous control),0,
33,AFFX-TrpnX-3_at (endogenous control),0,
31,AFFX-TrpnX-5_at (endogenous control),0,
32,AFFX-TrpnX-M_at (endogenous control),0,
1466,AFM Afamin,0,
4012,AFP Alpha-fetoprotein,0,
4821,AFX protein,0,
4274,AGA Aspartylglucosaminidase,0,
2021,AGC1 Aggrecan 1 (chondroitin sulfate proteoglycan 1; large aggregating proteoglycan; antigen identified by monoclonal antibody A0122),0,
6380,AGL Amylo-1;6-glucosidase; 4-alpha-glucanotransferase (glycogen debranching enzyme; glycogen storage disease type III),0,
2762,AGOUTI SWITCH PROTEIN PRECURSOR,0,
5567,AGTR1 Angiotensin receptor 1,0,
5373,AGTR1 Angiotensin receptor 1,0,
4247,AGXT Alanine-glyoxylate aminotransferase (oxalosis I; hyperoxaluria I; glycolicaciduria; serine-pyruvate aminotransferase),0,
6336,AHCY S-adenosylhomocysteine hydrolase,0,
2251,AHNAK AHNAK nucleoprotein (desmoyokin),0.007469898,
810,Ahnak-A Nucleoprotein Ahnak-A,0,
996,Ahnak-Related Sequence,0,
1378,AHR AH-receptor,0,
1755,AHSG Alpha-2-HS-glycoprotein alpha and beta chain,0,
4353,AK3 mRNA for adenylate kinase 3,0,
2839,A-kinase anchor protein (AKAP100) mRNA,0,
2336,A-KINASE ANCHOR PROTEIN 79,0,
2122,AKT1 V-akt murine thymoma viral oncogene homolog 1,0,
6729,AKT2 V-akt murine thymoma viral oncogene homolog 2,0,
6675,ALAS1 Aminolevulinate; delta-; synthase 1,0,
5802,Albumin; Alt. Splice 1,0,
5800,Albumin; Alt. Splice 3; Missplicing In Alloalbumin Venezia,0,
5272,Albumin; Alt. Splice 5,0,
1538,ALCAM Activated leucocyte cell adhesion molecule,0,
1124,ALCOHOL DEHYDROGENASE,0,
2181,Alcohol dehydrogenase 6 gene,0,
3361,ALD gene (adrenoleukodystrophy protein) extracted from Human Xq28 genomic DNA in the region of the ALD locus containing the genes for creatine transporter (SLC6A8); CDM; adrenoleukodystrophy (ALD); Na+-isocitrate dehydrogenase gamma subunit (IDH); and translocon-associated protein delta (TRAP) genes; plexin related protein (PLEXR) and serine kinase (SK) genes; partial cds; Xq28lu1 gene and cytochrome C (CCp) pseudogene,0,
2142,ALDEHYDE DEHYDROGENASE; MITOCHONDRIAL X PRECURSOR,0,
1279,ALDEHYDE OXIDASE,0,
1940,ALDH1 Aldehyde dehydrogenase 1; soluble,0,
4078,ALDH2 Aldehyde dehydrogenase 2; mitochondrial,0,
2212,ALDH3 Aldehyde dehydrogenase 3,0,
2681,ALDH6 Aldehyde dehydrogenase 6 ,0,
2738,ALDH7 Aldehyde dehydrogenase 7,0,
3077,ALDH7 Aldehyde dehydrogenase 7 (NOTE: redefinition of symbol),0,
3123,ALDH8 Aldehyde dehydrogenase 8,0,
4115,ALDOA Aldolase A,0,
1735,ALDOB Aldolase B; fructose-bisphosphate,0,
4071,Aldolase C gene,0,
4166,ALDR1 Aldehyde reductase 1 (low Km aldose reductase),0,
1127,Alkaline phosphatase,0,
1093,ALKALINE PHOSPHATASE; INTESTINAL PRECURSOR,0.01,
4798,AlkB protein homolog,0,
4988,Alkyl-dihydroxyacetonephosphate synthase precursor,0,
5682,Allograft inflammatory factor-1 (AIF-1) mRNA,0,
2118,ALOX12 Arachidonate 12-lipoxygenase,0,
6237,ALOX15 Arachidonate 15-lipoxygenase,0,
1082,ALOX5 Arachidonate 5-lipoxygenase,0,
4978,Alpha 4 protein,0,
268,Alpha 4(IV) collagen; C-terminal,0,
5902,Alpha adducin mRNA; partial cds including alternate exons A and B,0,
4444,ALPHA ENOLASE; LUNG SPECIFIC,0,
4653,Alpha NAC mRNA,0,
6083,Alpha palindromic binding protein mRNA,0,
2848,Alpha(1;2)fucosyltransferase,0,
4599,Alpha(1;3)fucosyltransferase mRNA,0,
